,Unnamed: 0,Date,Open,High,Low,Close,Adj Close,Volume,Weekday,Month,WeekN,Gap,InDayChange,InDayHighLow,min25,max25,min100,max100,min250,max250,delta2,delta3,delta4,delta5,nextDayChangeRatio,Target
2513,1082,2019-11-04,1801.01001,1815.060059,1801.01001,1804.660034,1804.660034,2771900,0,11,45,0.5342109875398762,0.202255490299179,0.7785427025198888,5.4941109201734575,-0.732553098696256,5.4941109201734575,11.987296882754595,25.528357935586666,11.987296882754595,1.5515387647798933,1.3670189141009126,2.3245415873159394,1.5282700054518945,-0.1637373974644954,0
2514,939,2019-04-11,55.759998,56.07,55.630001,55.799999,52.809856,10845800,3,4,15,0.017933632287001,0.0716863812130115,0.7885286879664644,5.949819103043358,0.2150519751801428,21.881719030138328,0.2150519751801428,23.97849684549277,2.2939122274894674,0.860213277064753,0.2150519751801428,0.3584247376061786,-0.2150519751801428,1.0988993654342207,0
2515,1411,2021-02-25,62.41,63.540001,60.130001,60.400002,60.03027,36394000,3,2,8,-1.2343709643040248,-3.3278111480857167,5.645695177294856,11.27483737500538,4.6192001781721785,26.97019943807287,4.6192001781721785,26.97019943807287,6.523168658173221,-1.1920479737732448,-0.5132400492304665,-4.321185287377974,-2.0033095363142475,0.6252007342086267,0
2516,311,2016-10-11,29.424999,29.672501,29.049999,29.075001,27.308571,256164000,1,10,41,1.421794005280687,-1.2037763988382988,2.141021422492817,11.32416814018338,-0.2149612995714084,20.859847949790264,-0.2149612995714084,22.32158822625664,5.391225953870124,1.9260601229214085,2.0722303672491718,2.7944968944283097,2.8374925937233857,0.8863064900735108,0
2517,487,2017-06-23,36.282501,36.790001,36.2775,36.57,34.817364,141757600,4,6,25,-0.3433358416992146,0.7861607875307544,1.401424665025959,2.7413152857533505,6.268796828001092,17.042657916324863,6.71315832649713,37.079573420836745,6.71315832649713,0.2802871205906582,0.8682007109652722,-0.0410144927536316,2.7413152857533505,-0.3154519097269558,0
2518,1267,2020-07-30,47.830002,48.5,47.59,47.990002,46.748642,39735200,3,7,31,-0.4992677345537756,0.3334027783537008,1.8962283018867068,-0.1666972216421315,27.42237851959249,7.043135776489445,34.069583910415346,7.043135776489445,42.675553545507256,-2.6047092058883434,-3.292348268708144,-5.417790980713038,-25.85955299605948,-0.5447349675256654,0
2519,484,2017-06-20,998.0,1004.880005,992.02002,992.590027,992.590027,4076800,1,6,25,0.2843752372302007,-0.5450360020592909,1.295598852515968,4.818708197639387,1.8889974198783683,18.63307175863858,1.8889974198783683,30.34788118015213,1.8889974198783683,0.4916435655463202,2.86322078873758,1.624039690255721,1.1888139794900383,0.9618503928609272,0
2520,592,2017-11-21,42.695,43.424999,42.695,43.285,41.521114,100525200,1,11,47,0.4706459694233674,1.3630587963497662,1.6864941665704043,9.91105694813445,1.7904608986947057,17.563823495437212,1.7904608986947057,36.98163336028647,1.7904608986947057,1.7269308074390604,1.1782326441030289,2.344923183550869,1.0396234261291284,1.040242293541734,0
2521,1087,2019-11-11,64.574997,65.6175,64.57,65.550003,64.781754,81821200,0,11,46,-0.7073221676130049,1.4874232728868182,1.5980167079473873,14.416482940511846,-0.7856582401682012,26.262400018501907,-0.7856582401682012,45.77040522789908,-0.7856582401682012,1.0564530408945931,1.8916932772680584,1.9336414065457896,1.7925292848575518,-0.0916246783211138,0
2522,254,2016-07-21,24.9575,25.25,24.782499,24.8575,23.221504,130808000,3,7,29,-0.1300520208083188,-0.402293070501852,1.8807241275268975,7.432364477521874,0.5330383184149521,9.142114050085494,12.74263300814642,9.142114050085494,25.213718193704103,-0.4425264004827392,-0.402293070501852,0.6537262395655291,0.6436689128029774,-0.7804540530932942,0
